Median age of Males,Females,sa2code,sa2name,Males,Median age of Females,Median age of Persons,Persons,Sex Ratio,People aged 65 years and over,People aged 15–64 years,People aged 0–14 years
33.4,1945,7RNTE02041064,Nhulunbuy,2438,31.5,32.6,4383,125.3,1.2,70.4,28.5

25.7,1149,7RNTE02051065,Elsey,1222,25.8,25.7,2371,106.4,4.3,67.1,28.6

25.7,2256,7RNTE02051066,Gulf,2443,23.5,24.6,4699,108.3,3.9,64.4,31.7

31.9,4927,7RNTE02051067,Katherine,5455,31.5,31.7,10382,110.7,6.2,69.4,24.4

24.6,1415,7RNTE02051068,Victoria River,1482,24.2,24.4,2897,104.7,4.6,62.5,32.8

39.9,1319,8ACTE01011001,Aranda,1242,41.7,40.8,2561,94.2,18.9,63.5,17.6

29.9,2239,8ACTE01011002,Belconnen,2379,29.4,29.6,4618,106.3,10.6,81.1,8.3

26.1,3370,8ACTE01011003,Bruce,3349,25.7,25.9,6719,99.4,7.6,83.1,9.3

32.4,1620,8ACTE01011004,Charnwood,1525,32.9,32.6,3145,94.1,8.2,69.9,21.8

38.6,1532,8ACTE01011005,Cook,1440,39.1,38.8,2972,94.0,15.5,67.4,17.1

30.5,3646,8ACTE01011006,Dunlop,3564,32.0,31.3,7210,97.8,4.6,69.7,25.7

34.5,2761,8ACTE01011007,Evatt,2746,36.1,35.3,5507,99.5,7.1,72.4,20.5

32.6,2609,8ACTE01011008,Florey,2550,37.2,35.0,5159,97.7,9.3,72.5,18.2

37.8,1791,8ACTE01011009,Flynn (ACT),1791,38.3,38.1,3582,100.0,10.7,70.6,18.7

36.4,1054,8ACTE01011010,Fraser,1106,37.8,37.0,2160,104.9,8.6,71.6,19.9

34.0,1691,8ACTE01011011,Giralang,1722,37.3,35.7,3413,101.8,8.9,73.8,17.3

49.5,2,8ACTE01011012,Gooromon,2,57.0,49.5,4,100.0,25.0,75.0,0.0

38.7,1458,8ACTE01011013,Hawker,1494,41.0,40.0,2952,102.5,16.5,67.5,16.0

35.4,1581,8ACTE01011014,Higgins,1574,35.9,35.7,3155,99.6,12.3,67.0,20.7

34.9,2569,8ACTE01011015,Holt,2334,36.3,35.6,4903,90.9,13.7,67.7,18.6

36.3,3723,8ACTE01011016,Kaleen,3846,37.8,37.0,7569,103.3,10.0,73.0,16.9

35.8,1837,8ACTE01011017,Latham,1831,37.4,36.6,3668,99.7,11.5,69.9,18.5

.,0,8ACTE01011018,Lawson,0,.,.,0,.,.,.,.

30.8,2776,8ACTE01011019,Macgregor (ACT),2754,30.8,30.8,5530,99.2,6.2,73.2,20.5

35.0,1305,8ACTE01011020,Macquarie,1278,36.7,35.8,2583,97.9,14.4,70.4,15.1

34.9,1466,8ACTE01011021,McKellar,1430,41.1,38.3,2896,97.5,9.9,72.4,17.7

36.8,1657,8ACTE01011022,Melba,1604,37.6,37.1,3261,96.8,13.5,66.9,19.7

35.2,1604,8ACTE01011023,Page,1363,41.6,38.4,2967,85.0,23.8,60.3,15.9

33.4,1417,8ACTE01011024,Scullin,1448,35.6,34.2,2865,102.2,12.4,69.8,17.8

34.8,1317,8ACTE01011025,Spence,1298,37.1,36.0,2615,98.6,10.3,68.9,20.8

39.4,1373,8ACTE01011026,Weetangera,1309,40.7,39.8,2682,95.3,16.4,62.9,20.7

25.8,234,8ACTE01021027,ACT - South West,276,32.0,29.5,510,117.9,2.5,75.7,21.8

