Median age of Males,Females,sa2code,sa2name,Males,Median age of Females,Median age of Persons,Persons,Sex Ratio,People aged 65 years and over,People aged 15–64 years,People aged 0–14 years
22.2,998,8ACTE01051049,Acton,1078,21.7,21.9,2076,108.0,0.2,99.3,0.5

38.7,2770,8ACTE01051050,Ainslie,2478,40.3,39.5,5248,89.5,15.9,67.6,16.5

29.2,2237,8ACTE01051051,Braddon,2566,28.1,28.7,4803,114.7,5.9,88.0,6.1

24.4,2083,8ACTE01051052,Campbell,3002,32.9,26.9,5085,144.1,10.6,78.1,11.3

25.6,1454,8ACTE01051053,Civic,1586,23.6,24.4,3040,109.1,3.0,94.5,2.5

32.1,1101,8ACTE01051054,Dickson,1127,33.2,32.7,2228,102.4,12.0,74.5,13.5

34.4,1835,8ACTE01051055,Downer,1800,36.4,35.2,3635,98.1,13.1,70.4,16.5

38.8,1554,8ACTE01051056,Hackett,1427,40.3,39.7,2981,91.8,16.8,65.4,17.8

35.8,2418,8ACTE01051057,Lyneham,2239,35.8,35.8,4657,92.6,14.2,74.8,11.0

34.5,2806,8ACTE01051058,O'Connor (ACT),2651,35.0,34.8,5457,94.5,10.7,72.8,16.6

38.0,783,8ACTE01051059,Reid,842,37.4,37.7,1625,107.5,12.3,77.1,10.6

31.3,1803,8ACTE01051060,Turner,1952,29.5,30.4,3755,108.3,8.6,83.8,7.5

32.7,2677,8ACTE01051061,Watson,2650,34.4,33.5,5327,99.0,10.6,72.4,17.0

42.6,1593,8ACTE01061062,Deakin,1288,43.0,42.7,2881,80.9,20.1,62.7,17.2

41.7,752,8ACTE01061063,Forrest,768,42.8,42.3,1520,102.1,14.1,73.1,12.8

37.9,1961,8ACTE01061064,Griffith (ACT),2116,39.0,38.4,4077,107.9,12.6,74.6,12.9

34.3,2196,8ACTE01061065,Kingston - Barton,2135,33.3,33.8,4331,97.2,8.6,84.4,7.0

.,0,8ACTE01061066,Lake Burley Griffin,0,.,.,0,.,.,.,.

37.3,3007,8ACTE01061067,Narrabundah,2803,40.1,38.9,5810,93.2,14.7,68.3,17.0

.,0,8ACTE01061068,Parkes (ACT),0,.,.,0,.,.,.,.

38.6,1672,8ACTE01061069,Red Hill (ACT),1737,43.2,40.9,3409,103.9,16.4,64.4,19.2

44.8,1568,8ACTE01061070,Yarralumla,1472,47.5,46.3,3040,93.9,18.8,66.1,15.1

30.6,2665,8ACTE01071071,Banks,2517,30.9,30.7,5182,94.4,4.9,69.8,25.2

32.4,2024,8ACTE01071072,Bonython,1925,34.0,33.2,3949,95.1,6.5,73.9,19.7

32.2,3022,8ACTE01071073,Calwell,2922,34.8,33.6,5944,96.7,5.9,74.0,20.2

32.0,2717,8ACTE01071074,Chisholm,2666,34.1,33.1,5383,98.1,5.9,73.5,20.6

30.8,2739,8ACTE01071075,Conder,2696,33.9,32.4,5435,98.4,5.7,71.1,23.1

42.2,1601,8ACTE01071076,Fadden,1571,43.1,42.7,3172,98.1,9.3,74.0,16.7

30.8,1434,8ACTE01071077,Gilmore,1457,32.9,32.0,2891,101.6,5.1,73.7,21.2

32.9,4112,8ACTE01071078,Gordon (ACT),3866,33.9,33.4,7978,94.0,6.8,71.8,21.4

36.3,1604,8ACTE01071079,Gowrie (ACT),1548,40.2,38.1,3152,96.5,9.0,72.4,18.6

33.7,764,8ACTE01071080,Greenway,731,37.6,35.6,1495,95.7,13.4,75.5,11.0

30.6,2240,8ACTE01071081,Isabella Plains,2179,33.2,31.9,4419,97.3,5.9,72.8,21.3

36.1,7971,8ACTE01071082,Kambah,7935,39.0,37.6,15906,99.5,10.2,70.9,18.9

34.8,695,8ACTE01071083,Macarthur,784,39.5,37.7,1479,112.8,5.5,77.4,17.0

36.8,2827,8ACTE01071084,Monash,2714,41.7,39.3,5541,96.0,12.8,70.2,17.0

15.5,1,8ACTE01071085,Mount Taylor,2,85.5,20.5,3,200.0,33.3,66.7,0.0

32.3,928,8ACTE01071086,Oxley (ACT),911,35.7,34.2,1839,98.2,5.9,75.7,18.4

31.8,1625,8ACTE01071087,Richardson,1590,33.6,32.7,3215,97.8,6.3,72.4,21.3

30.1,2043,8ACTE01071088,Theodore,2056,32.1,31.2,4099,100.6,3.8,73.5,22.7

52.4,14,8ACTE01071089,Tuggeranong,17,33.0,52.4,31,121.4,12.9,77.4,9.7

35.4,4026,8ACTE01071090,Wanniassa,3992,38.6,36.9,8018,99.2,10.3,70.7,19.0

41.7,1399,8ACTE01081091,Chapman,1380,45.9,44.2,2779,98.6,16.8,65.7,17.5

37.5,1680,8ACTE01081092,Duffy,1651,38.3,37.9,3331,98.3,12.3,65.0,22.7

37.7,1598,8ACTE01081093,Fisher,1490,41.3,39.5,3088,93.2,18.1,63.4,18.5

36.8,1385,8ACTE01081094,Holder,1380,40.8,38.7,2765,99.6,15.7,65.9,18.4

37.6,1650,8ACTE01081095,Rivett,1517,39.6,38.7,3167,91.9,14.3,66.8,19.0

39.3,1074,8ACTE01081096,Stirling,1062,41.7,40.4,2136,98.9,14.2,66.9,18.9

38.6,1320,8ACTE01081097,Waramanga,1292,39.8,39.3,2612,97.9,16.8,64.5,18.6

40.1,1731,8ACTE01081098,Weston,1609,45.8,43.0,3340,93.0,22.5,60.2,17.3

34.7,1260,8ACTE01091099,Chifley,1298,37.7,36.1,2558,103.0,14.2,67.2,18.6

40.6,2794,8ACTE01091100,Curtin,2558,41.8,41.2,5352,91.6,17.2,64.1,18.7

42.1,1768,8ACTE01091101,Farrer,1687,43.8,43.0,3455,95.4,19.7,62.7,17.7

38.8,1705,8ACTE01091102,Garran,1589,41.8,40.6,3294,93.2,18.8,64.6,16.6

40.8,1622,8ACTE01091103,Hughes,1388,43.3,42.3,3010,85.6,20.3,61.8,17.9

46.1,1277,8ACTE01091104,Isaacs,1153,47.9,47.3,2430,90.3,21.1,65.9,13.0

36.2,1362,8ACTE01091105,Lyons (ACT),1441,37.1,36.6,2803,105.8,16.5,67.2,16.3

38.3,1497,8ACTE01091106,Mawson,1504,42.2,40.0,3001,100.5,18.6,68.4,13.0

44.7,466,8ACTE01091107,O'Malley,465,46.0,45.5,931,99.8,18.2,65.6,16.2

40.5,1296,8ACTE01091108,Pearce,1290,42.7,41.5,2586,99.5,19.2,65.4,15.4

32.6,1104,8ACTE01091109,Phillip,1057,32.0,32.3,2161,95.7,8.3,82.3,9.4

38.9,1158,8ACTE01091110,Torrens,1148,39.8,39.4,2306,99.1,16.2,63.4,20.4

